 구분별(1) ,구분별(2),구분별(3),산업코드,2021.1분기,2021.1분기,2021.1분기,2021.1분기,2021.1분기,2021.2분기,2021.2분기,2021.2분기,2021.2분기,2021.2분기,2021.3분기,2021.3분기,2021.3분기,2021.3분기,2021.3분기,2021.4분기,2021.4분기,2021.4분기,2021.4분기,2021.4분기,2022.1분기,2022.1분기,2022.1분기,2022.1분기,2022.1분기,2022.2분기,2022.2분기,2022.2분기,2022.2분기,2022.2분기,2022.3분기,2022.3분기,2022.3분기,2022.3분기,2022.3분기
구분별(1),구분별(2),구분별(3),,매우곤란 (%),다소곤란 (%),동일 (%),다소원활 (%),매우원활 (%),매우곤란 (%),다소곤란 (%),동일 (%),다소원활 (%),매우원활 (%),매우곤란 (%),다소곤란 (%),동일 (%),다소원활 (%),매우원활 (%),매우곤란 (%),다소곤란 (%),동일 (%),다소원활 (%),매우원활 (%),매우곤란 (%),다소곤란 (%),동일 (%),다소원활 (%),매우원활 (%),매우곤란 (%),다소곤란 (%),동일 (%),다소원활 (%),매우원활 (%),매우곤란 (%),다소곤란 (%),동일 (%),다소원활 (%),매우원활 (%)
제조업,업종별,식료품,10,3.9,22.96666667,62.8,9.7,0.633333333,2.266666667,25,64,7.1,1.633333333,2.3,27.53333333,58.53333333,9.966666667,1.666666667,3.2,30.23333333,57.83333333,7.033333333,1.633333333,23.85555556,4.844444444,11.05555556,29.21111111,30.18888889,5.933333333,32.36666667,53.43333333,7,1.233333333,8.466666667,33.06666667,49.83333333,7.366666667,1.233333333
제조업,업종별,음료,11,0.633333333,17.8,67.83333333,13.76666667,0,0.6,15.43333333,66.36666667,17.6,0,1.1,13.73333333,74.13333333,11,0,4.633333333,16,70.93333333,8.4,0,28.47777778,6.133333333,5.7,28.42222222,32.65555556,5.3,21.43333333,59.76666667,13.53333333,0,0.6,24.36666667,63.36666667,11.43333333,0.3
제조업,업종별,섬유제품;의복제외,13,7.266666667,26.4,58.96666667,5.833333333,1.5,7.433333333,22.3,63.63333333,6.166666667,0.466666667,6.5,25.36666667,61.16666667,6.933333333,0,8.066666667,33.8,57.13333333,0.966666667,0,21.71111111,4.788888889,13.93333333,29.97777778,28.14444444,12.96666667,35.2,47.66666667,3.7,0.466666667,8.233333333,31.63333333,56.53333333,3.2,0.433333333
제조업,업종별,의복의복악세서리및모피제품,14,4.9,16.56666667,76.66666667,1.866666667,0,2.9,18.2,73.4,5.466666667,0,3.8,21.4,72.93333333,1.866666667,0,4.433333333,22.1,71.93333333,1.5,0,27.37777778,2.1,8.633333333,32.07777778,30.87777778,6.7,24.26666667,66.4,2.6,0,4.5,19.96666667,74.03333333,1.466666667,0
제조업,업종별,가죽가방및신발,15,12.33333333,26.6,59.06666667,1.966666667,0,14.96666667,24.93333333,58.9,1.2,0,20.13333333,19.26666667,58.2,2.466666667,0,11.86666667,25.96666667,59.83333333,0.533333333,1.8,20.08888889,4.611111111,15.36666667,31.35555556,27.88888889,11.6,28.8,54.8,3.766666667,1.033333333,13.26666667,25.86666667,57.86666667,0.933333333,2
제조업,업종별,목재및나무제품;가구제외,16,16.9,35.76666667,45.36666667,2,0,26.46666667,29.66666667,43.16666667,0.7,0,15.06666667,39.06666667,39.9,5.266666667,0.666666667,13.1,37.7,45.8,3.366666667,0,15.57777778,5.033333333,17.58888889,37.11111111,24.31111111,8.433333333,36.66666667,48.76666667,6.1,0,7.3,27.03333333,59.03333333,6.133333333,0.533333333
제조업,업종별,펄프종이및종이제품,17,15.13333333,32.23333333,48.13333333,3.833333333,0.7,9.133333333,33.13333333,50.96666667,6.333333333,0.4,5.3,25.86666667,56.96666667,10.7,1.2,6.1,27.23333333,55.63333333,10.6,0.4,18.55555556,3.444444444,11.07777778,30.21111111,33.56666667,4.833333333,30.13333333,53.4,9.366666667,2.233333333,1.6,25.8,62.03333333,8.5,1.966666667
제조업,업종별,인쇄및기록매체복제업,18,4.733333333,27.4,61.06666667,4.133333333,2.666666667,8.733333333,26.4,55.8,5.833333333,3.266666667,9.4,27.56666667,56,4.866666667,2.2,5.533333333,28.6,57.73333333,7.066666667,1.1,23.03333333,4.311111111,13.55555556,31.34444444,29.82222222,3.466666667,34.06666667,56.3,4.433333333,1.733333333,4.5,30.93333333,61.23333333,2.2,1.133333333
제조업,업종별,화학물질및화학제품;의약품제외,20,5.266666667,32.63333333,58.86666667,2.866666667,0.4,5.733333333,30.73333333,59.23333333,3.9,0.4,6.1,30.96666667,58.63333333,4.333333333,0,7.866666667,40.26666667,49.2,2.7,0,20.92222222,3.711111111,15.58888889,28.63333333,30.68888889,8.633333333,43.73333333,46.4,1.233333333,0,3.7,36.56666667,57.3,2.433333333,0
제조업,업종별,의료용물질및의약품,21,7.3,18.16666667,60.6,12.23333333,1.7,2.533333333,23.3,64.43333333,8.066666667,1.7,2,19.26666667,67.83333333,10.93333333,0,8.033333333,18.9,57.96666667,15.1,0,22.88888889,7.322222222,7.533333333,26.58888889,35.41111111,13.1,24.96666667,46.76666667,15.13333333,0,9.133333333,26.13333333,49.03333333,15.66666667,0
제조업,업종별,고무제품및플라스틱제품,22,3.866666667,34.8,57.9,3.433333333,0,6.433333333,40.8,50.83333333,1.933333333,0,4.933333333,33.96666667,55.4,4.766666667,0.933333333,10.06666667,38.93333333,45.46666667,5.133333333,0.433333333,20.25555556,4.5,14.62222222,28.62222222,33.77777778,13.56666667,36.63333333,48.83333333,0.933333333,0,3.466666667,34.93333333,55.7,4.2,1.7
제조업,업종별,비금속광물제품,23,7.233333333,25.43333333,62.03333333,4.5,0.866666667,6.666666667,33.9,56.03333333,3.033333333,0.433333333,5.7,36.7,50.3,6.9,0.433333333,8.833333333,27.96666667,56.03333333,5.933333333,1.2,21.83333333,4.588888889,11.51111111,33.13333333,30.04444444,11.7,37.63333333,46.63333333,4,0,5.433333333,30.8,54.8,9,0
제조업,업종별,1차금속,24,5.3,32.93333333,54.7,7.066666667,0,7.5,35.2,53.03333333,4.266666667,0,11.83333333,34.13333333,51.23333333,2.766666667,0,15.4,30.7,50.46666667,3.2,0.266666667,19.65555556,7.488888889,14.17777778,30.7,29.87777778,11.3,39.93333333,43.86666667,4.833333333,0,7.6,29.7,57.16666667,5.533333333,0
제조업,업종별,금속가공제품;기계및가구제외,25,4.733333333,31.93333333,52.16666667,9.733333333,1.433333333,6.166666667,37.4,45.83333333,9.733333333,0.9,7.166666667,35.86666667,48.3,8.233333333,0.4,7.8,32.96666667,48.83333333,9.166666667,1.266666667,20.76666667,6.144444444,13.85555556,30.28888889,31.62222222,6.566666667,38.96666667,48.46666667,4.8,1.2,3.833333333,27.83333333,60.86666667,6.333333333,1.133333333
제조업,업종별,전자부품컴퓨터영상음향및통신장비,26,6.033333333,23.23333333,63.9,5.333333333,1.5,9,19.36666667,64.3,7.366666667,0,9.133333333,17.26666667,67.23333333,6.4,0,4.833333333,23.96666667,64.5,6.7,0,23.75555556,3.388888889,11.53333333,30.25555556,31.1,6.8,36.36666667,49.13333333,7.4,0.333333333,3.266666667,32.16666667,53.86666667,10.1,0.666666667
제조업,업종별,의료정밀광학기기및시계,27,2.966666667,21.3,66.03333333,9.7,0,2.866666667,25.63333333,63.16666667,8.333333333,0,1.733333333,24.2,66.1,7.9,0,2.133333333,21.63333333,69.93333333,6.333333333,0,24.78888889,3.944444444,7.788888889,32.33333333,32.68888889,5.1,24.1,62.46666667,7.5,0.8,4.033333333,22,65.93333333,8.033333333,0
제조업,업종별,전기장비,28,3.633333333,25.33333333,65.63333333,4.5,0.9,10.3,29.26666667,54.36666667,5.233333333,0.9,8,35.6,51.93333333,3.566666667,0.9,8.633333333,29.9,58.6,2.233333333,0.6,23.92222222,4.677777778,12.93333333,34.83333333,27.81111111,10.6,40.6,46.46666667,2.266666667,0,5.566666667,38,53.06666667,3.366666667,0
제조업,업종별,기타기계및장비,29,4,22.7,66,5.833333333,1.466666667,5.633333333,35.9,52.16666667,5.933333333,0.333333333,8.633333333,30.96666667,56.46666667,3.366666667,0.566666667,4.733333333,31.03333333,59.9,3.766666667,0.533333333,24.16666667,3.633333333,13.71111111,32.16666667,32.04444444,6.533333333,34.03333333,54.16666667,5.3,0,3.266666667,24.36666667,69.8,2.533333333,0
제조업,업종별,자동차및트레일러,30,3.133333333,21.93333333,63.63333333,11.3,0,4.3,26.36666667,59.96666667,8.566666667,0.766666667,5.466666667,27.86666667,60.3,5.6,0.8,7.366666667,26.16666667,59.76666667,6.433333333,0.266666667,24.33333333,6.477777778,10.54444444,30.64444444,31.03333333,4.433333333,22.8,64.53333333,7.966666667,0.233333333,2.366666667,24.1,66.9,6.4,0.266666667
제조업,업종별,기타운송장비,31,0.933333333,25.7,67.66666667,5.233333333,0.466666667,4.1,34.43333333,57.3,4.2,0,3.633333333,33.76666667,59.8,2.833333333,0,6.766666667,37.53333333,54.46666667,1.233333333,0,23.95555556,4,13.87777778,30.77777778,31.82222222,3.666666667,36,57.66666667,2.666666667,0,0.866666667,21.96666667,75,2.166666667,0
제조업,업종별,가구,32,14.46666667,28.3,52.73333333,3.966666667,0.5,18.16666667,27.06666667,51.5,3.266666667,0,15.36666667,31.83333333,51.36666667,1.4,0,11.33333333,24.6,56.93333333,6.066666667,1,18.66666667,5.1,13.48888889,35.64444444,28.16666667,9.733333333,27.06666667,58.06666667,2.733333333,2.366666667,8.3,27.23333333,59.93333333,4.6,0
제조업,업종별,기타제품,33,8.7,21.76666667,65.73333333,3.8,0,7.266666667,25.6,60.73333333,6.4,0,3.033333333,27.16666667,68.2,1.633333333,0,3.6,34.76666667,58.43333333,2.166666667,1.033333333,24.04444444,2.466666667,12.6,30.95555556,31.98888889,2.266666667,27.56666667,67.56666667,2.633333333,0,3.466666667,28.56666667,66.96666667,1,0
